#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
11400,-50453.61432174152,303.54545229460155,32.663821388483605
11500,-50720.17378108198,300.20349120276484,32.52048722548267
11600,-50993.55871781407,302.82957290353374,32.52048722548267
11700,-50686.45594238535,288.2985729622071,32.32211981418268
11800,-51021.164041511714,302.4426574701762,32.29969644328034
11900,-50728.04780839598,298.87184087051065,32.42156398213169
12000,-50450.413110904774,299.1644483222354,32.55280286523137
12100,-50855.32843149722,308.67051896322056,32.52827582760431
12200,-50733.051162804055,304.12813776825504,32.290742360216605
12300,-50937.434509819104,307.56323814598045,32.27929776175083
12400,-50780.7215179425,300.5142841689909,32.27929776175083
12500,-50597.21539491467,302.5199800011266,32.386308147873436
12600,-50710.18813957919,304.77347449120185,32.491335958519656
12700,-50763.30735815018,298.95507963255085,32.491335958519656
12800,-50857.928208208985,302.07879640642705,32.422463581226765
12900,-50745.42029404599,296.57751069886444,32.422463581226765
13000,-50436.10487010249,298.03513358436004,32.40925359597566
13100,-50745.78305025403,296.1836299813267,32.189219753119055
13200,-50775.254295963125,301.49739317321,31.758673460819168
13300,-50867.416721176465,292.40583339365094,31.94420241689229
13400,-50928.08505790788,300.84254830133,32.04775806799135
13500,-50756.64598947691,304.72327074872373,32.03659487874326
13600,-51018.67237924375,302.1317958171145,32.1030365007319
13700,-50910.80452132545,299.55088432002935,32.04046789958048
13800,-51026.08576647765,297.95238090828474,32.14223306090536
13900,-51084.958158911526,299.25280763101534,32.14223306090536
14000,-51212.9649725645,301.7691395824128,32.233464435378956
14100,-51143.43248286968,301.5538891905984,32.233464435378956
14200,-51228.21706795183,308.32820616556114,32.0527307054025
14300,-51059.69480737252,303.81792006540485,32.14159268416082
14400,-51246.51803125987,304.58002221912017,32.110761529469954
14500,-50950.692443784785,301.27272476866534,32.2120411383286
14600,-51092.840903547316,310.1425279274253,32.057324060107014
14700,-50896.97838110351,301.2577413633826,32.057324060107014
14800,-50944.982297128045,307.1969068319721,32.082879684306164
14900,-50674.38294458487,304.0539410694404,32.22546190685791
15000,-50536.07133116866,302.512986721718,32.17344317447739
15100,-50716.90060342549,309.753685106558,31.818772749602154
15200,-50568.373701182994,310.27340077684426,31.87967866809316
15300,-50494.419121019244,304.8753778529843,31.87967866809316
15400,-50451.60584489807,299.4203308427534,31.82924653733756
15500,-50798.05317390054,302.55824610055345,31.82924653733756
15600,-51010.35583911221,296.31606165155415,31.796339423733556
15700,-51121.76042824376,295.33674254989523,31.846617681712534
15800,-51273.07514842927,305.26415008556575,31.75335477707482
15900,-50877.306914447254,295.7482579151598,31.75335477707482
16000,-50849.639803590166,298.9123854809271,32.03273908277872
16100,-51005.49145161499,307.01983601415355,31.987263934429322
16200,-51043.47643105063,300.3564623917523,31.987263934429322
16300,-51006.943970151435,289.9370933682859,32.088776917834245
16400,-51138.144568585776,302.5537440626395,32.07748276700966
16500,-50813.7977068884,294.14198895111485,32.11631807578125
16600,-50919.554440600106,292.0516398890924,32.117346574498974
16700,-50938.848364940284,292.3715064675973,32.36846054319737
16800,-51178.80181759479,303.85996348959844,32.41936474373619
16900,-50928.63290987335,298.79854798184743,32.49416094463784
17000,-51067.3093733026,298.0145562263658,32.420278068764226
17100,-51151.06698078625,299.5211712411286,32.15109294445148
17200,-51194.84420963932,303.61350077051486,32.24280410855108
17300,-50808.62426889701,298.6175378909524,32.15061079765387
17400,-50967.96225960822,298.69503519805795,32.35476694149236
17500,-50839.63087158567,297.9326247319405,32.433771037671306
17600,-50823.85394234596,294.99583778174275,32.37314715336582
17700,-50897.8880343807,300.3803156968179,32.381658901710146
17800,-51056.90345756075,294.7801513859486,32.477119385836154
17900,-51079.92404865863,300.66895221817884,32.43341338525154
18000,-50922.55442698843,300.3111975115752,32.46969050113513
18100,-50879.755051224754,297.63091247934824,32.304999398723
18200,-50904.58122057549,299.1925382405702,32.01807587796007
18300,-50937.369085824896,298.6806725580627,32.028928021784004
18400,-50928.50461935678,304.13468169005023,31.820348074044112
18500,-50797.701884090566,302.8009287625398,32.16237710476183
18600,-50868.36943533665,314.05694961975564,32.223393828938484
18700,-51132.727961544275,310.51825972307705,32.24962666946964
18800,-50831.99496908731,315.79042695245784,32.218651697349216
18900,-50746.52279697318,304.88958642961774,32.218651697349216
19000,-50858.90730134034,301.399472198737,32.273389425224934
19100,-50941.964726488986,305.230031635553,32.11240311912622
19200,-50711.48202767622,303.8263556858678,32.22927137157769
19300,-50471.5492472402,296.3339406878129,32.25041753972929
19400,-50803.499102364876,304.8866516735132,32.24101041099224
19500,-50645.90999915552,299.27675763336447,32.29542003920145
19600,-51144.29125033081,301.3557393458748,32.20915975613913
19700,-50780.637655944396,290.406599797238,32.20915975613913
19800,-50880.92169907207,299.2981100323629,32.18212881335967
19900,-51011.50791343712,297.3841133210248,32.18212881335967
20000,-50833.901957309274,291.4534035056849,32.13477772188319
